PTU,oids,Latitude,Longitude
PTU-00000,3300037883,42.53,-72.19
PTU-00000,3300031823,39.08,-86.47
PTU-00000,3300037235,42.53,-72.19
PTU-00000,3300021168,42.48,-72.18
PTU-00001,3300047640,68.36,19.05
PTU-00001,3300049729,68.36,19.04
PTU-00001,3300048773,68.35,19.05
PTU-00001,3300050034,68.36,19.04
PTU-00001,3300047661,68.35,19.05
PTU-00001,3300050035,68.36,19.04
PTU-00001,3300048772,68.35,19.05
PTU-00001,3300048791,68.35,19.05
PTU-00001,3300050022,68.35,19.05
PTU-00001,3300048821,68.35,19.05
PTU-00001,3300050393,68.36,19.05
PTU-00001,3300048778,68.35,19.05
PTU-00001,3300041809,38.98,-106.97
PTU-00001,3300048769,68.35,19.05
PTU-00001,3300050010,68.35,19.05
PTU-00001,3300048777,68.35,19.05
PTU-00001,3300047657,68.36,19.05
PTU-00001,3300056791,68.35,19.05
PTU-00001,3300050027,68.35,19.05
PTU-00001,3300050391,68.36,19.05
PTU-00001,3300049719,68.35,19.05
PTU-00001,3300047649,68.36,19.05
PTU-00001,3300021076,68.35,19.05
PTU-00001,3300047641,68.36,19.05
PTU-00001,3300055372,68.36,19.05
PTU-00001,3300048759,68.35,19.05
PTU-00001,3300051166,68.36,19.05
PTU-00001,3300048774,68.35,19.05
PTU-00001,3300047650,68.36,19.05
PTU-00001,3300050121,68.35,19.05
PTU-00001,3300047659,68.36,19.05
PTU-00001,3300048820,68.35,19.05
PTU-00001,3300049721,68.35,19.05
PTU-00001,3300048050,68.35,19.05
PTU-00001,3300050013,68.35,19.05
PTU-00001,3300000727,18.0,-65.0
PTU-00001,3300050031,68.35,19.05
PTU-00001,3300048041,68.36,19.05
PTU-00001,3300049727,68.36,19.04
PTU-00001,3300050014,68.35,19.05
PTU-00001,3300048776,68.35,19.05
PTU-00001,3300050024,68.35,19.05
PTU-00001,3300052275,68.36,19.05
PTU-00001,3300054973,68.36,19.04
PTU-00001,3300048042,68.36,19.05
PTU-00001,3300047655,68.36,19.05
PTU-00001,3300050026,68.35,19.05
PTU-00001,3300047654,68.36,19.05
PTU-00001,3300021182,68.35,19.05
PTU-00001,3300048770,68.35,19.05
PTU-00001,3300056870,68.35,19.05
PTU-00001,3300048823,68.35,19.05
PTU-00001,3300048044,68.36,19.05
PTU-00001,3300050025,68.35,19.05
PTU-00001,3300026988,18.0,-65.0
PTU-00001,3300021083,68.35,19.05
PTU-00001,3300047653,68.36,19.05
PTU-00001,3300049728,68.36,19.04
PTU-00001,3300029889,47.51,-93.45
PTU-00001,3300050028,68.35,19.05
PTU-00001,3300049718,68.35,19.05
PTU-00001,3300047651,68.36,19.05
PTU-00001,3300048765,68.35,19.05
PTU-00001,3300046701,68.35,19.04
PTU-00001,3300048775,68.35,19.05
PTU-00002,3300047317,46.12,-123.27
PTU-00002,3300044999,38.91,-120.66
PTU-00002,3300046463,46.12,-123.27
PTU-00002,3300060744,44.97,-110.58
PTU-00002,3300047314,46.12,-123.27
PTU-00002,3300046721,46.12,-123.27
PTU-00002,3300045012,42.3,-72.12
PTU-00002,3300046459,46.12,-123.27
PTU-00002,3300037153,26.65,-80.63
PTU-00002,3300046461,46.12,-123.27
PTU-00002,3300060669,68.66,-149.38
PTU-00002,3300041966,39.1,-96.61
PTU-00002,3300046747,46.12,-123.27
PTU-00002,3300046454,46.12,-123.27
PTU-00002,3300046663,46.12,-123.27
PTU-00002,3300046740,46.12,-123.27
PTU-00002,3300046517,46.12,-123.27
PTU-00002,3300036841,26.65,-80.63
PTU-00002,3300035410,46.11,-122.99
PTU-00002,3300046782,46.12,-123.27
PTU-00002,3300046475,46.12,-123.27
PTU-00002,3300047313,46.12,-123.27
PTU-00002,3300046514,46.12,-123.27
PTU-00002,3300046727,46.12,-123.27
PTU-00002,3300053085,46.12,-123.27
PTU-00002,3300047090,46.12,-123.27
PTU-00002,3300046559,46.12,-123.27
PTU-00002,3300035725,46.11,-122.99
PTU-00002,3300046812,46.12,-123.27
PTU-00002,3300046809,46.12,-123.27
PTU-00002,3300046838,46.12,-123.27
PTU-00002,3300046680,46.12,-123.27
PTU-00002,3300036786,35.5,-121.0
PTU-00002,3300046529,46.12,-123.27
PTU-00002,3300035171,46.11,-122.99
PTU-00002,3300047440,46.12,-123.27
PTU-00002,3300046535,46.12,-123.27
PTU-00002,3300046722,44.59,-123.19
PTU-00002,3300035116,46.11,-122.99
PTU-00002,3300046780,46.12,-123.27
PTU-00002,3300046811,46.12,-123.27
PTU-00002,3300046477,46.12,-123.27
PTU-00002,3300035089,46.11,-122.99
PTU-00002,3300046813,46.12,-123.27
PTU-00002,3300049448,46.12,-123.27
PTU-00002,3300046791,46.12,-123.27
PTU-00002,3300049564,41.89,-89.32
PTU-00002,3300035174,57.19,-2.21
PTU-00002,3300044908,42.3,-72.12
PTU-00002,3300046788,46.12,-123.27
PTU-00002,3300053078,46.12,-123.27
PTU-00002,3300046510,46.12,-123.27
PTU-00002,3300035704,35.5,-121.0
PTU-00002,3300047319,46.12,-123.27
PTU-00002,3300036401,46.11,-122.99
PTU-00002,3300035724,46.11,-122.99
PTU-00002,3300053081,46.12,-123.27
PTU-00002,3300046462,46.12,-123.27
PTU-00002,3300035695,46.11,-122.99
PTU-00002,3300046816,46.12,-123.27
PTU-00002,3300049450,46.12,-123.27
PTU-00002,3300035177,57.19,-2.21
PTU-00002,3300046796,46.12,-123.27
PTU-00002,3300047315,46.12,-123.27
PTU-00002,3300048088,46.12,-123.27
PTU-00002,3300046713,46.12,-123.27
PTU-00002,3300035113,46.11,-122.99
PTU-00002,3300035247,46.11,-122.99
PTU-00002,3300005468,42.39,-85.37
PTU-00002,3300046717,46.12,-123.27
PTU-00002,3300049445,46.12,-123.27
PTU-00002,3300046533,46.12,-123.27
PTU-00002,3300047310,46.12,-123.27
PTU-00002,3300047321,46.12,-123.27
PTU-00002,3300035111,46.11,-122.99
PTU-00002,3300046531,46.12,-123.27
PTU-00002,3300046817,46.12,-123.27
PTU-00002,3300046737,46.12,-123.27
PTU-00002,3300035692,46.11,-122.99
PTU-00002,3300046455,46.12,-123.27
PTU-00002,3300046823,46.12,-123.27
PTU-00002,3300035083,46.11,-122.99
PTU-00002,3300046709,46.12,-123.27
PTU-00002,3300046723,44.59,-123.19
PTU-00002,3300046822,46.12,-123.27
PTU-00002,3300046683,46.12,-123.27
PTU-00002,3300046707,46.12,-123.27
PTU-00002,3300046675,46.12,-123.27
PTU-00002,3300046792,46.12,-123.27
PTU-00002,3300046476,46.12,-123.27
PTU-00002,3300021180,42.48,-72.18
PTU-00002,3300046678,46.12,-123.27
PTU-00002,3300046724,46.12,-123.27
PTU-00002,3300036805,36.5,-121.8
PTU-00002,3300047673,46.12,-123.27
PTU-00002,3300046516,46.12,-123.27
PTU-00002,3300046536,46.12,-123.27
PTU-00002,3300036829,35.5,-121.0
PTU-00002,3300046656,46.12,-123.27
PTU-00002,3300047312,46.12,-123.27
PTU-00003,3300047317,46.12,-123.27
PTU-00003,3300044652,14.75,-16.85
PTU-00003,3300037451,42.53,-72.19
PTU-00003,3300020123,42.49,-85.46
PTU-00003,3300009098,42.39,-85.37
PTU-00003,3300036819,36.5,-121.8
PTU-00003,3300025939,42.48,-85.45
PTU-00003,3300043157,42.53,-72.19
PTU-00003,3300010396,42.39,-85.37
PTU-00003,3300046721,46.12,-123.27
PTU-00003,3300037153,26.65,-80.63
PTU-00003,3300041966,39.1,-96.61
PTU-00003,3300047509,47.55,-92.3
PTU-00003,3300032174,39.08,-86.47
PTU-00003,3300025929,42.48,-85.45
PTU-00003,3300046454,46.12,-123.27
PTU-00003,3300046663,46.12,-123.27
PTU-00003,3300005439,42.48,-85.45
PTU-00003,3300046517,46.12,-123.27
PTU-00003,3300025898,42.48,-85.45
PTU-00003,3300046782,46.12,-123.27
PTU-00003,3300037068,46.11,-122.99
PTU-00003,3300037491,42.53,-72.19
PTU-00003,3300046514,46.12,-123.27
PTU-00003,3300032180,39.08,-86.47
PTU-00003,3300047471,46.12,-123.27
PTU-00003,3300045253,47.55,-92.3
PTU-00003,3300047090,46.12,-123.27
PTU-00003,3300049440,46.12,-123.27
PTU-00003,3300010371,42.39,-85.37
