KO	Meta	Isolate	log_odds	p	padj
K22003	131.0	116.0	-2.304724019416149	7.921686195167046e-59	1.0464733438511359e-58
K20918	985.0	777.0	-2.2655206836739348	0.0	0.0
K10016	538.0	789.0	-2.8913870961817447	0.0	0.0
K10188	498.0	728.0	-2.880254454658442	0.0	0.0
K23241	278.0	290.0	-2.4879087616731668	5.365734406805823e-158	1.1942932404126026e-157
K16076	303.0	384.0	-2.693864676136326	1.3191393628750252e-228	3.8142320607841376e-228
K10197	658.0	907.0	-2.8445651112020207	0.0	0.0
K18915	158.0	221.0	-2.7720780805698535	5.21314433631589e-137	1.070854259075881e-136
K18221	67.0	48.0	-2.0898820037027965	1.766787484023459e-22	1.8619679545432412e-22
K19338	4846.0	2079.0	-1.8085344163647723	0.0	0.0
K18940	480.0	614.0	-2.7317650274839447	0.0	0.0
K07665	1941.0	1642.0	-2.450507303212474	0.0	0.0
K23064	4552.0	2734.0	-2.2638330265293973	0.0	0.0
K16235	545.0	485.0	-2.351762238675769	2.5263201643709895e-244	7.780941810067598e-244
K06419	1.0	123.0	-6.554737015258905	1.6956934204604542e-132	3.409085768633462e-132
K02402	314.0	146.0	-1.6649718362426564	1.1908381569372514e-47	1.4433004573915187e-47
K02638	108.0	135.0	-2.6492905959905664	2.258129779907779e-80	3.453042423749055e-80
K22027	599.0	621.0	-2.521638547229363	0.0	0.0
K16028	64.0	49.0	-2.155360742059134	8.284113742400592e-24	8.774712694996227e-24
K05847	1319.0	1426.0	-2.6696681475916924	0.0	0.0
K21910	47.0	54.0	-2.554654929623336	6.776922720594124e-32	7.436202669749205e-32
K00127	51.0	60.0	-2.578855375845646	1.2407934705823147e-35	1.3916895186284953e-35
K06988	251.0	164.0	-2.0065890282624848	6.518558919571135e-69	9.182825054630729e-69
K14392	219.0	186.0	-2.2706829535516198	2.1027315448070702e-91	3.473113316752575e-91
K20252	789.0	383.0	-1.7307403291470154	4.953551937841894e-128	9.739846134555242e-128
K02481	580.0	421.0	-2.1396548671480757	2.873937904182288e-188	7.079528295201621e-188
K13623	144.0	88.0	-1.9336137757497107	4.8924919658707076e-36	5.4973299899215846e-36
K20766	74.0	120.0	-2.904769164846172	3.3796490927094443e-79	5.1056659596648256e-79
K06609	511.0	424.0	-2.274321527479591	3.0607935645628305e-205	8.059124169995088e-205
K13782	146.0	127.0	-2.2881655224603676	1.1731753505978158e-63	1.6030728938046007e-63
K22618	47.0	53.0	-2.5361818586625517	4.437995019129559e-31	4.848490195419029e-31
K17245	880.0	1031.0	-2.6971969760805887	0.0	0.0
K20667	79.0	120.0	-2.8401772688329396	2.4373958832084976e-77	3.624251360780331e-77
K07514	111.0	117.0	-2.4778794332188068	9.946975977693182e-65	1.3674020229560102e-64
K18256	194.0	329.0	-2.9778250274585227	5.5476019200422696e-219	1.529867313632802e-218
K00044	287.0	298.0	-2.484207628581565	5.473036591800198e-162	1.2363088521305997e-161
K20990	163.0	133.0	-2.2251090887592073	2.732786148006435e-64	3.748505349004718e-64
K03776	117.0	110.0	-2.363598087358048	1.2585065186436402e-57	1.648600744276053e-57
K01993	886.0	761.0	-2.349470253613994	0.0	0.0
K19266	1660.0	1429.0	-2.43859599674159	0.0	0.0
K22505	179.0	81.0	-1.6342187012772402	1.612652583054406e-26	1.724570603445754e-26
K25104	625.0	795.0	-2.7491759536084373	0.0	0.0
K00492	321.0	234.0	-2.123204240380639	6.155044420948207e-105	1.0993032261094372e-104
K15313	862.0	636.0	-2.181068079674298	5.461874436216585e-289	1.9763776861685446e-288
K15639	60.0	120.0	-3.111532225952556	6.570391667952819e-85	1.03865282427739e-84
K25524	54.0	84.0	-2.857497002491296	4.739555033030286e-55	6.084514638660773e-55
K11902	64.0	124.0	-3.0810010745908865	7.945825249469239e-87	1.2701146776042756e-86
K12907	1616.0	1395.0	-2.4367791938290693	0.0	0.0
K21102	46.0	56.0	-2.611684751136553	7.642657881876201e-34	8.494103566896586e-34
K07659	1389.0	1371.0	-2.569678044717462	0.0	0.0
K00575	156.0	159.0	-2.4494100554163363	4.5906040274850614e-86	7.309934807518343e-86
K09018	311.0	402.0	-2.715833654128308	2.1877925031527352e-241	6.636259755171955e-241
K06922	296.0	45.0	-0.5495999181011063	0.002028440728738148	0.0020427169051921664
K16395	105.0	204.0	-3.096293464611856	3.281805495446511e-142	6.885329669541737e-142
K15914	208.0	283.0	-2.7523083434251028	2.237991922769899e-173	5.220243851528483e-173
K07806	131.0	275.0	-3.183083285304798	3.502243921193832e-196	8.898649191952667e-196
K02824	48.0	111.0	-3.2522933377471075	4.388537177621586e-82	6.804270645674582e-82
K25132	107.0	221.0	-3.1594047707395054	5.758905818554297e-157	1.2783954051116985e-156
K11264	1062.0	767.0	-2.175161586976482	0.0	0.0
K02753	78.0	89.0	-2.5529099738682857	2.012667837859684e-51	2.5104459606478946e-51
K13489	67.0	82.0	-2.6211254231336762	5.835372214247356e-49	7.14861645033042e-49
K16845	70.0	100.0	-2.7764472043866095	3.278952637794475e-63	4.469514101816747e-63
K03417	225.0	182.0	-2.2215815597059363	4.753250836182365e-87	7.602772337145093e-87
K22180	65.0	116.0	-2.9985805288845873	3.587311848270163e-79	5.416116290665354e-79
K19217	32.0	121.0	-3.734548386594473	1.4559892123146339e-100	2.5423967835675333e-100
K02012	643.0	842.0	-2.7844638159191764	0.0	0.0
K17064	619.0	646.0	-2.53138772897567	0.0	0.0
K21791	75.0	182.0	-3.313013195646432	1.3138921762729353e-135	2.6780512896926578e-135
K14707	88.0	123.0	-2.758338244706411	9.199053047707235e-77	1.3621779320791791e-76
K10023	547.0	828.0	-2.9282747711505293	0.0	0.0
K10208	52.0	96.0	-3.0281162168233573	1.6720791627575785e-66	2.3279878918793306e-66
K00354	609.0	571.0	-2.4145211800394404	2.2866299890388222e-296	8.47000220791895e-296
K14470	672.0	509.0	-2.1925901458806356	4.2986470307377234e-234	1.2700663321495293e-233
K09994	237.0	245.0	-2.473555936041042	5.80728685699351e-133	1.170337729570362e-132
K22955	742.0	319.0	-1.6020064884871255	7.900400119508028e-96	1.3398308092955031e-95
K12924	59.0	91.0	-2.8504432989518036	2.4865951817888587e-59	3.2970263887737894e-59
K04077	113.0	203.0	-3.018430857393334	6.095901584915865e-138	1.2573424685856115e-137
K16850	94.0	141.0	-2.830838354679824	3.2850104342360947e-90	5.383289350345014e-90
K01755	34.0	83.0	-3.297731011813723	1.1744681026934003e-62	1.5943985519893056e-62
K13012	163.0	214.0	-2.708133063744947	2.410832340106342e-129	4.768344533670047e-129
K21159	195.0	143.0	-2.1197412371985327	7.790057607860266e-65	1.07177495879572e-64
K14372	88.0	172.0	-3.097512813644734	2.7542556946987892e-120	5.268644965260327e-120
K20483	91.0	59.0	-1.9912324391458196	1.1964919628361721e-25	1.2757146582677347e-25
K00218	180.0	102.0	-1.8592984938936874	2.2509010233204698e-39	2.5730454975551042e-39
K07251	460.0	254.0	-1.8470487288563053	3.575070605124379e-94	5.997974402165122e-94
K20772	227.0	252.0	-2.5455411957553853	1.9633852861914617e-141	4.10891496583654e-141
K03227	197.0	110.0	-1.8451443055846697	6.893547718322231e-42	8.011809462371253e-42
K01913	854.0	853.0	-2.513196964625401	0.0	0.0
K25044	43.0	65.0	-2.8253943554868135	1.7060222018835092e-42	1.989697062653147e-42
K15758	234.0	344.0	-2.8371876084500856	2.5462923470158377e-217	6.9834786822865906e-217
K08350	92.0	109.0	-2.59277763832772	1.0874398432669234e-63	1.487544041267619e-63
K04479	854.0	665.0	-2.2388911933272513	2.06450189607e-312	8.027193707706e-312
K20143	916.0	849.0	-2.4372515496921405	0.0	0.0
K16413	51.0	129.0	-3.344130261167364	1.5271731713009966e-97	2.6138356944208445e-97
K10010	4459.0	2712.0	-2.273373777068965	0.0	0.0
K00272	49.0	74.0	-2.826450999445519	3.7357832040805165e-48	4.543176854306757e-48
K12048	294.0	61.0	-0.8568593542051525	5.286069168930438e-8	5.368613749341641e-8
K23777	1521.0	1023.0	-2.1343763180759976	0.0	0.0
K07666	1959.0	1545.0	-2.3652776520425576	0.0	0.0
K17324	2394.0	1905.0	-2.4258768402862474	0.0	0.0
K21062	384.0	556.0	-2.848660813676922	0.0	0.0
K02480	369.0	484.0	-2.740634280892265	7.091249362314313e-293	2.6189510919225724e-292
K19960	3810.0	2183.0	-2.127323625279806	0.0	0.0
K16003	47.0	127.0	-3.408459934028605	1.0297446195983753e-97	1.7642699469547258e-97
K10202	965.0	1117.0	-2.696453262609589	0.0	0.0
K19244	280.0	328.0	-2.608362654905488	1.3760136431154165e-188	3.391277718859255e-188
K06350	58.0	193.0	-3.626154606593598	1.8782378954222945e-155	4.149190727955382e-155
K21297	300.0	398.0	-2.7413522174403355	1.471081963727843e-241	4.4676643264700045e-241
K07547	3371.0	2060.0	-2.1761725068403392	0.0	0.0
K21103	67.0	81.0	-2.608879483639378	3.9430488839551575e-48	4.7940735156220996e-48
K19185	143.0	207.0	-2.8044158281633496	4.0718617017632925e-130	8.095229615891451e-130
K22676	3135.0	1950.0	-2.178493609460274	0.0	0.0
K08255	333.0	446.0	-2.7568172847364263	5.508567257681594e-272	1.8702986323030117e-271
K04045	116.0	67.0	-1.8767340392453196	9.254031336984551e-27	9.915316417547846e-27
K05999	73.0	41.0	-1.8502441409023946	1.1738905981952417e-16	1.215893302122393e-16
K16264	250.0	262.0	-2.4892226659013117	4.319165785046427e-143	9.092216162888823e-143
K16842	50.0	70.0	-2.75133214237458	2.365663837345249e-44	2.7928440587989174e-44
