PFAM	Meta	Isolate	log_odds	p	padj
PF01558	104.0	98.0	-2.364552138087808	1.4531832886184478e-51	2.3623126518269099e-51
PF02447	75.0	97.0	-2.677812741099027	5.524053649267254e-59	9.69212736196966e-59
PF01420	851.0	149.0	-0.6845695413339331	2.152796904191941e-12	2.4241140128152586e-12
PF00448	11.0	123.0	-4.762876703701435	2.4305732214255525e-119	7.488357550890661e-119
PF01654	131.0	191.0	-2.8094879048420367	1.8160750716224982e-120	5.6324998549787225e-120
PF00384	405.0	463.0	-2.6003638308548855	7.629344221285018e-264	5.020670432307393e-263
PF18945	103.0	149.0	-2.796041773856185	5.966658951179067e-94	1.4984377020096188e-93
PF01478	439.0	148.0	-1.3431527722204482	2.6888598936112146e-35	3.6336367265031133e-35
PF13795	56.0	64.0	-2.5510054586604642	1.9639606613539713e-37	2.7286367322519588e-37
PF10088	86.0	29.0	-1.3503076846956612	3.814788556230573e-8	4.162401980330494e-8
PF04055	1105.0	708.0	-2.0470611016630222	1.6371765705324216e-294	1.2762285816600053e-293
PF03527	78.0	60.0	-2.160365818034936	6.970009122631876e-29	8.842889782563544e-29
PF01522	248.0	483.0	-3.1358214521281176	0.0	0.0
PF19514	171.0	20.0	-0.3100056558024428	0.23682340827576132	0.2407618281945705
PF17763	100.0	89.0	-2.3070015167961726	1.3067068783504797e-45	1.9839739074563167e-45
PF17167	52.0	69.0	-2.6985359903442507	7.836116391790528e-43	1.1528371360436603e-42
PF12846	1507.0	517.0	-1.3930715159874294	1.249446847914539e-123	3.948932010483638e-123
PF03547	64.0	73.0	-2.550381652147122	1.908292429358886e-42	2.791538610453836e-42
PF00775	291.0	340.0	-2.6072147330875626	2.8138270852398758e-195	1.3819281858376813e-194
PF02737	438.0	588.0	-2.776927751999674	0.0	0.0
PF02421	64.0	49.0	-2.155360742059134	8.284113742400592e-24	1.0133752619060862e-23
PF00108	661.0	671.0	-2.5066533240458253	0.0	0.0
PF13808	103.0	61.0	-1.9015389470261868	6.259872528631952e-25	7.726718323066963e-25
PF03460	119.0	151.0	-2.666265048316984	2.6114538360154152e-90	6.299488329245908e-90
PF21217	85.0	57.0	-2.0245884151124334	2.301440894603926e-25	2.8498119393203193e-25
PF03741	147.0	157.0	-2.4957107681095585	6.387749850381343e-87	1.4973504442417619e-86
PF02302	65.0	66.0	-2.4348608929339264	1.5648402573390456e-36	2.140826806712958e-36
PF07005	81.0	237.0	-3.506725966190697	4.14386004427277e-185	1.906175620365474e-184
PF03601	81.0	103.0	-2.6619358980331738	4.183615818795694e-62	7.557184717777914e-62
PF04295	94.0	141.0	-2.830838354679824	3.2850104342360947e-90	7.899667948996322e-90
PF00933	287.0	192.0	-2.0329437287153835	1.0136563049110403e-81	2.2795000932317004e-81
PF13466	192.0	103.0	-1.8047609534249256	3.598472642184605e-38	5.04481107289972e-38
PF14659	781.0	161.0	-0.8495563283547188	1.160682222252052e-18	1.3693574414888354e-18
PF13400	327.0	166.0	-1.754468147218475	4.822720643719315e-58	8.379341851428548e-58
PF06267	50.0	74.0	-2.806637927941078	8.519676673544317e-48	1.3211754948360112e-47
PF02922	122.0	137.0	-2.5431528165330723	8.430055025791839e-78	1.818293205655937e-77
PF02366	53.0	56.0	-2.472775348501504	8.229406848801457e-32	1.0685808893105525e-31
PF05544	77.0	141.0	-3.028188702294741	9.096564319441291e-97	2.3427182831554454e-96
PF12769	87.0	68.0	-2.17660684706296	8.00279779923702e-33	1.051498828485724e-32
PF11920	256.0	62.0	-1.0113030796201605	2.1064706594152571e-10	2.333491340878227e-10
PF16976	101.0	137.0	-2.730591120382803	2.471709354648214e-84	5.707535617144931e-84
PF02543	63.0	115.0	-3.020664413942151	4.3252270708933794e-79	9.452024915978664e-79
PF20247	209.0	39.0	-0.7566800418515046	0.0001029784866293651	0.00010893398198543495
PF03090	198.0	68.0	-1.3594309592477127	2.1101156858479775e-17	2.470664686605268e-17
PF08532	29.0	98.0	-3.618108638631326	8.61626407522637e-80	1.9008149522080586e-79
PF18840	4.0	119.0	-5.605124155405364	2.2318804862293146e-123	7.044372784661274e-123
PF06803	70.0	40.0	-1.867440197058733	1.7636320798539165e-16	2.0505091699202442e-16
PF08541	85.0	165.0	-3.089647072112756	3.472845729838291e-115	1.0237843439612119e-114
PF00015	939.0	823.0	-2.377569645115678	0.0	0.0
PF19614	145.0	19.0	-0.42526649121634646	0.11741026817107955	0.11994021678162611
PF09907	157.0	77.0	-1.714312272943458	5.219846151459378e-27	6.536766905574196e-27
PF17391	56.0	87.0	-2.8568174726033546	6.152145207293116e-57	1.0586246901142153e-56
PF13298	133.0	163.0	-2.6332627772838033	5.8682583108678805e-96	1.4980180281479215e-95
PF02424	58.0	111.0	-3.066470840724735	1.4511084705295588e-77	3.1241195338648423e-77
PF00982	76.0	75.0	-2.407753193925217	9.67276600348578e-41	1.3921831119019495e-40
PF00394	186.0	328.0	-3.016639701016089	2.8224226318075814e-221	1.531889666749769e-220
PF05280	134.0	127.0	-2.3734536742669916	1.4110736054636089e-66	2.693446167207858e-66
PF01139	68.0	38.0	-1.8457773501113623	1.7018663589009316e-15	1.9659052967314094e-15
PF19301	44.0	78.0	-2.9843212632420006	1.3619263080506406e-53	2.2630578065820017e-53
PF16694	123.0	56.0	-1.6407279269295316	6.474991000874614e-19	7.658556056533466e-19
PF13524	220.0	493.0	-3.277185788119549	0.0	0.0
PF03597	39.0	80.0	-3.1274065435514338	1.6006610793872944e-57	2.7686788439439203e-57
PF07704	128.0	188.0	-2.816382040134366	6.327721471059512e-119	1.934118023325164e-118
PF18766	1080.0	180.0	-0.6357259582974083	4.545891957525789e-13	5.153785757604884e-13
PF12973	96.0	151.0	-2.879294008402997	3.166588461996647e-98	8.274448815768516e-98
PF18335	291.0	88.0	-1.2319799703326593	4.109529162979297e-19	4.868146989087663e-19
PF00042	70.0	110.0	-2.8721073384714115	6.69241408305295e-72	1.3506931290123372e-71
PF02230	119.0	145.0	-2.625236304015366	2.7256917867625236e-85	6.331782020649342e-85
PF13616	69.0	109.0	-2.877127640329907	2.141573457122903e-71	4.307251204239397e-71
PF03428	1320.0	719.0	-1.883899822200504	3.310775131177035e-266	2.2164065215343667e-265
PF05343	22.0	86.0	-3.7531727169313536	2.477412212617131e-72	5.03502062109326e-72
PF04203	90.0	97.0	-2.49752622181671	1.7599506623218124e-54	2.949758577614408e-54
PF04952	111.0	214.0	-3.09006546791657	8.951363378716449e-149	3.3538737304448886e-148
PF05345	205.0	95.0	-1.658390092195618	1.8649258024046933e-31	2.4161866363558856e-31
PF01263	114.0	166.0	-2.804881894924014	8.580202648420129e-105	2.314960598406499e-104
PF02426	114.0	72.0	-1.9655709865910689	1.9763893537815645e-30	2.5421663725551353e-30
PF03412	267.0	284.0	-2.506651422119179	3.5117900867610425e-156	1.3945108327428892e-155
PF03704	389.0	215.0	-1.8441360468514336	6.454904390200225e-80	1.4267119789186607e-79
PF03576	76.0	65.0	-2.2654312811206303	4.9418459859205014e-33	6.5078844814588e-33
PF20229	59.0	62.0	-2.4681797367331053	5.742422932868876e-35	7.71523913999676e-35
PF21088	26.0	93.0	-3.6710500534649015	1.0292752548547832e-76	2.1955981790887614e-76
PF06429	68.0	40.0	-1.896034859263793	8.38620496333927e-17	9.769886725093844e-17
PF05401	24.0	103.0	-3.850377772345919	6.312322518673121e-88	1.4886827625256508e-87
PF19135	95.0	26.0	-1.1460397405054408	4.9160906461529475e-6	5.277300633555129e-6
PF10996	64.0	91.0	-2.770347751364795	1.497520306609788e-57	2.5922054189676136e-57
PF06006	88.0	57.0	-1.9902671638660518	8.123087729384692e-25	1.0021207007626467e-24
PF08443	32.0	130.0	-3.806854116818119	1.688867070512523e-109	4.732494818818565e-109
PF18144	550.0	121.0	-0.9136425152757898	3.224698637284067e-16	3.73987765072935e-16
PF02811	466.0	328.0	-2.098335001856477	1.006216676716123e-143	3.623940062033416e-143
PF04166	74.0	177.0	-3.297934659727705	2.1910043866191244e-131	7.344449047786762e-131
PF06723	148.0	116.0	-2.1833949690428667	5.475760359174272e-55	9.210855405041154e-55
PF00070	1005.0	1565.0	-3.0588836899539507	0.0	0.0
PF00391	141.0	133.0	-2.3693878752627824	1.7396037790426925e-69	3.4188659718410957e-69
PF06863	187.0	103.0	-1.831063913824583	6.276577972129573e-39	8.858135254712636e-39
PF13362	1418.0	450.0	-1.3075829350686705	4.450462997567285e-98	1.1616208475672813e-97
PF08007	106.0	62.0	-1.8891931271816156	4.251660010396214e-25	5.253513938377875e-25
PF13571	202.0	20.0	-0.14395179807462471	0.6249703461532677	0.6306716394935017
PF02525	432.0	517.0	-2.6528801304721426	4.391097975536288e-301	3.517420895576137e-300
PF09587	79.0	113.0	-2.7797083852533926	2.8362988436924966e-71	5.6897428444712175e-71
PF17935	65.0	90.0	-2.744015855262438	2.368996624825963e-56	4.0494327884258366e-56
PF02518	4159.0	2259.0	-2.0828279742183775	0.0	0.0
PF13711	155.0	45.0	-1.1950304976020343	4.658765491309533e-10	5.141240967369142e-10
PF00860	113.0	180.0	-2.8958970048987576	2.1107626102164943e-117	6.384507218141818e-117
PF05402	190.0	111.0	-1.8903083791170463	1.177248269055611e-43	1.7496786494025493e-43
PF19456	72.0	36.0	-1.736491047434451	1.2103463139713343e-13	1.3775769168816316e-13
PF12806	100.0	88.0	-2.295703496463852	7.560857646460282e-45	1.1397710780484903e-44
PF00165	2468.0	1700.0	-2.24817079547042	0.0	0.0
PF14378	26.0	137.0	-4.060523113926203	8.757725565179642e-121	2.7234533451020493e-120
PF03807	471.0	949.0	-3.2314703951596178	0.0	0.0
PF07110	127.0	94.0	-2.1244911543990783	2.252728004488446e-43	3.3331765314819495e-43
PF08450	398.0	569.0	-2.8375871764106844	0.0	0.0
PF13354	144.0	264.0	-3.04693238648524	2.009284784597061e-180	9.04567549344762e-180
PF19300	512.0	783.0	-2.9326689918565374	0.0	0.0
PF13360	118.0	249.0	-3.1846413184635103	6.13596697499514e-178	2.72020062651025e-177
PF11800	1320.0	676.0	-1.816498923263954	4.460507224644279e-238	2.58397962165802e-237
PF03062	42.0	62.0	-2.8015016004573043	2.9924063406971974e-40	4.2725014932019605e-40
PF00268	64.0	54.0	-2.251290342569508	1.659229568485857e-27	2.0823286264682045e-27
PF06296	214.0	86.0	-1.515966007760959	3.025761881063489e-25	3.744722882104681e-25
PF03459	111.0	325.0	-3.520519982761957	6.87363288108285e-254	4.3987463313375924e-253
PF16113	340.0	715.0	-3.2429656953283716	0.0	0.0
PF10502	3971.0	660.0	-0.6592898271159312	6.794221724321759e-45	1.0255345721637067e-44
PF01564	53.0	78.0	-2.801905749435445	3.415507413344123e-50	5.464341405784021e-50
PF03960	261.0	256.0	-2.422366198067097	2.3678226109769527e-135	8.160907901037777e-135
PF01799	517.0	519.0	-2.4768195152887724	1.846347454159759e-278	1.3237855358065183e-277
PF11348	68.0	49.0	-2.095599108159815	5.403122788737223e-23	6.561136559454558e-23
PF02775	715.0	710.0	-2.4893265167320218	0.0	0.0
PF02627	825.0	720.0	-2.360510656973917	0.0	0.0
PF02492	186.0	330.0	-3.0229580797066813	4.3424287630254746e-223	2.384742793500751e-222
PF13508	1609.0	1440.0	-2.4796735622319517	0.0	0.0
PF00722	82.0	96.0	-2.5792493968010377	5.582413780365112e-56	9.479493575868534e-56
PF20172	87.0	14.0	-0.6438747472727264	0.04575247765085198	0.04696553494605795
PF13632	266.0	427.0	-2.9355282548019876	4.3751574382244965e-279	3.1661964887836466e-278
PF00198	142.0	184.0	-2.6913008020776226	9.518869865159058e-111	2.6900650482681865e-110
PF10979	148.0	27.0	-0.7423533150829834	0.0013734224455255965	0.0014377919517602345
PF05988	148.0	104.0	-2.073679752392712	2.4604842323833588e-46	3.7553908487690816e-46
PF00078	1199.0	623.0	-1.8252747096876878	1.568128565605675e-221	8.531060088763426e-221
PF00356	951.0	956.0	-2.532869315948603	0.0	0.0
PF21597	133.0	114.0	-2.272172196646104	7.722178485452437e-57	1.3278031548264997e-56
PF02129	291.0	407.0	-2.7952846220369856	2.205824035888813e-252	1.4038710233889623e-251
PF20720	177.0	256.0	-2.8098473868451097	1.0601038863400498e-160	4.327981244231873e-160
PF01520	39.0	66.0	-2.9359079561595585	7.128094690707441e-45	1.0752314263969731e-44
PF13936	323.0	421.0	-2.726505209316649	9.313238168399782e-254	5.94358578714085e-253
PF01242	121.0	88.0	-2.106576205515755	2.79903738072053e-40	4.001331591023872e-40
PF14022	583.0	105.0	-0.712522207724158	8.820633957866752e-10	9.70186206634681e-10
PF02040	90.0	144.0	-2.8951825603671195	2.593635473088705e-94	6.541818896835028e-94
PF20408	45.0	96.0	-3.1698400514753398	1.5062887137164632e-69	2.967861477492234e-69
PF01471	489.0	242.0	-1.7359876910520076	2.3930357055483646e-82	5.428732367176612e-82
PF02574	39.0	107.0	-3.418460025009405	7.485627476936929e-83	1.7064879910622654e-82
PF02264	70.0	65.0	-2.346620655435273	1.822037812349817e-34	2.4353244177725113e-34
PF01434	119.0	99.0	-2.241034020664191	9.271147527384521e-49	1.458150013954925e-48
PF14437	176.0	118.0	-2.0280863676785263	7.821019901322183e-51	1.2581876198595174e-50
PF13730	502.0	259.0	-1.7794476019263972	4.340561324142481e-91	1.0547200790777178e-90
PF02016	60.0	46.0	-2.1566696846236497	1.8412353457469724e-22	2.230025916668518e-22
PF00515	1423.0	686.0	-1.756274668433222	5.7146864662792945e-230	3.2221399663026215e-229
PF07691	55.0	94.0	-2.951941074340172	1.696165109973251e-63	3.109859155854666e-63
PF01571	155.0	222.0	-2.7957804025455264	6.535454761558497e-139	2.2864249113102994e-138
PF14534	413.0	320.0	-2.1937376937960806	1.0399159377522284e-148	3.883801806106795e-148
PF03435	131.0	182.0	-2.7603404508463543	1.0676771978668857e-112	3.0771887476982323e-112
PF03703	204.0	54.0	-1.1011466252977575	1.6561738633259172e-10	1.835540021233829e-10
PF02687	911.0	505.0	-1.8776307194306392	4.215230418260232e-188	1.9821822391940323e-187
PF13229	149.0	279.0	-3.0699548073730245	5.386539610469351e-192	2.5906690507495446e-191
PF00817	1082.0	831.0	-2.2451252991683575	0.0	0.0
PF20696	81.0	119.0	-2.8070391638391388	9.408079506785105e-76	1.9760369524649005e-75
PF13579	306.0	454.0	-2.860194384364599	2.541298680237709e-288	1.9355530603908847e-287
PF00036	92.0	134.0	-2.800705562533141	7.5649226494043e-85	1.7503302106141621e-84
PF12894	130.0	134.0	-2.457697518270229	3.844504533345596e-73	7.86160566105794e-73
PF13872	508.0	234.0	-1.6632395944808256	5.627540487141412e-75	1.173498792785413e-74
PF13776	177.0	102.0	-1.8760447740179542	7.483659845832757e-40	1.0632747291663299e-39
PF03746	47.0	160.0	-3.641984762291532	1.0918344714951168e-129	3.5976333011108604e-129
PF04982	43.0	92.0	-3.171701719288224	9.102399286498503e-67	1.7403188100852693e-66
PF02852	387.0	467.0	-2.65501904362985	1.2357460380381255e-272	8.620534673761458e-272
PF13471	448.0	73.0	-0.6135297171698582	9.036148003834709e-6	9.677718678150314e-6
PF06169	121.0	226.0	-3.060271510794504	1.7914386350277322e-155	7.089458175757107e-155
PF08775	141.0	116.0	-2.231590326576027	1.6084477537045338e-56	2.7534444597314904e-56
PF10935	613.0	340.0	-1.8604110972343901	2.4217523226770516e-126	7.868154749061246e-126
PF13489	1665.0	1151.0	-2.1784318713292374	0.0	0.0
PF07506	2125.0	679.0	-1.336387554052502	2.6083008883894966e-150	9.884311523211746e-150
PF06742	208.0	111.0	-1.8000503760125397	7.491541542594114e-41	1.0802514589352034e-40
PF00809	44.0	58.0	-2.689924824257519	3.768998086239831e-36	5.126102198088482e-36
PF16697	143.0	89.0	-1.9518431424270517	7.004672820868387e-37	9.656887218324784e-37
PF00725	435.0	399.0	-2.3719636426004223	6.671940049133399e-204	3.384042955051722e-203
PF13542	84.0	169.0	-3.1256691029878874	2.7692939691223975e-119	8.498110819380885e-119
PF00989	1521.0	1160.0	-2.279535185769827	0.0	0.0
PF17273	179.0	47.0	-1.0944739033753295	3.0141808985952247e-9	3.3106109822395777e-9
PF02753	259.0	128.0	-1.7245869831048548	3.9272759375593615e-44	5.863150387500255e-44
PF00210	182.0	118.0	-1.9946843840590052	9.800229815166007e-50	1.5603792913386314e-49
PF06983	78.0	133.0	-2.956446696914339	3.486352683530095e-89	8.314986944394672e-89
PF05175	119.0	467.0	-3.8314760542313686	0.0	0.0
PF05834	9.0	299.0	-5.851072436593837	6.607205254961e-311	5.66366708755507e-310
PF08719	109.0	79.0	-2.102515271326974	3.031009677038602e-36	4.129639577572243e-36
PF20112	144.0	12.0	-0.0005049308135259106	1.0	1.0
PF06736	83.0	24.0	-1.202493701691476	5.130109682430883e-6	5.5045010587930446e-6
PF04986	442.0	175.0	-1.5062665734879284	4.558248627890071e-49	7.218003791812294e-49
PF00856	132.0	81.0	-1.9373391075990758	2.177750049948675e-33	2.880930162887683e-33
PF13646	279.0	126.0	-1.6343825529227802	2.6098958840733565e-40	3.733243927772418e-40
PF13555	144.0	616.0	-3.938114147746822	0.0	0.0
PF14417	56.0	54.0	-2.382710657314021	1.9583639575721154e-29	2.4996041062857273e-29
PF00128	168.0	270.0	-2.9166618524620262	2.7123685398948835e-176	1.1956038174906669e-175
PF07811	878.0	188.0	-0.8891052271284882	3.367075650133744e-23	4.1015819272473456e-23
PF04335	10221.0	995.0	-0.09496320574772565	0.00854193650161331	0.008842655300021264
PF07494	126.0	35.0	-1.1546564322746795	9.278537505800002e-8	1.0095570316615176e-7
PF02771	951.0	912.0	-2.479648159022625	0.0	0.0
PF04828	293.0	284.0	-2.41377270915962	3.238821946871784e-149	1.2154738905627067e-148
PF02108	60.0	67.0	-2.5286339070472104	1.0205219153945843e-38	1.4385148115665167e-38
PF05732	18.0	89.0	-3.978544322658605	4.460353150560236e-78	9.665485418611408e-78
PF02371	1778.0	1022.0	-1.9743346345867732	0.0	0.0
PF01385	230.0	397.0	-3.0041746435362895	4.3665387056034714e-266	2.9064382272541157e-265
