	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-00358	0	1	0	0	1	0	0	0
PTU-00359	1	0	0	0	1	1	0	1
PTU-00360	0	0	0	0	1	0	0	0
PTU-00361	0	1	0	1	0	0	0	0
PTU-00362	0	0	0	1	0	0	0	0
PTU-00363	0	0	0	1	0	0	0	0
PTU-00364	0	0	0	0	1	0	0	0
PTU-00365	1	0	1	0	1	0	0	1
PTU-00366	1	0	0	0	1	1	0	1
PTU-00367	0	0	0	0	1	0	0	1
PTU-00368	1	1	0	0	1	1	1	0
PTU-00369	0	0	1	0	1	0	0	0
PTU-00370	0	0	0	0	1	0	0	0
PTU-00371	1	0	1	0	1	1	0	1
PTU-00372	0	0	0	1	0	0	0	0
PTU-00373	1	0	1	0	0	1	0	1
PTU-00374	1	0	0	0	1	1	0	1
PTU-00375	0	0	0	0	1	0	0	0
PTU-00376	0	0	0	0	0	0	1	0
PTU-00377	1	0	0	0	1	0	0	0
PTU-00378	0	0	0	1	0	0	0	0
PTU-00379	0	0	0	1	0	0	0	0
PTU-00380	0	1	0	1	1	1	0	1
PTU-00381	0	0	0	1	0	0	0	0
PTU-00382	1	0	0	0	1	0	0	0
PTU-00383	0	0	0	1	0	0	0	0
PTU-00384	0	0	0	0	1	0	0	1
PTU-00385	1	0	0	0	1	0	0	0
PTU-00386	1	0	0	0	1	0	0	0
PTU-00387	0	0	0	0	1	0	0	0
PTU-00388	0	0	1	0	1	0	0	1
PTU-00389	0	0	0	0	0	1	0	0
PTU-00390	0	0	0	1	0	1	0	0
PTU-00391	0	0	0	0	0	1	0	0
PTU-00392	0	0	0	0	0	1	0	0
PTU-00393	0	0	0	0	1	0	0	1
PTU-00394	1	0	0	1	1	0	0	0
PTU-00395	1	0	0	0	1	0	0	0
PTU-00396	1	1	1	0	1	1	0	1
PTU-00397	0	0	0	0	0	1	0	0
PTU-00398	0	0	0	0	0	1	0	0
PTU-00399	0	0	0	1	0	0	0	0
PTU-00400	1	1	1	0	1	1	0	1
PTU-00401	0	1	0	1	0	1	0	0
PTU-00402	0	0	0	0	0	1	0	0
PTU-00403	0	0	0	1	0	0	0	1
PTU-00404	0	1	0	0	1	0	0	0
PTU-00405	1	1	0	0	1	1	0	0
PTU-00406	0	0	0	0	1	0	0	0
PTU-00407	0	1	0	1	0	0	0	0
PTU-00408	0	0	0	0	1	0	0	0
PTU-00409	0	0	0	0	1	0	0	0
PTU-00410	0	0	1	0	1	0	0	1
PTU-00411	0	1	1	1	0	0	0	0
PTU-00412	1	0	0	1	0	1	0	0
PTU-00413	0	0	0	1	0	0	0	0
PTU-00414	1	0	1	0	0	0	1	0
PTU-00415	1	0	0	0	1	0	0	1
PTU-00416	0	0	0	0	1	0	0	0
PTU-00417	0	0	0	1	0	0	0	0
PTU-00418	0	1	1	0	0	0	1	0
PTU-00419	1	0	1	0	0	1	0	1
PTU-00420	0	0	0	0	1	0	0	1
